,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
창원중앙,18,42,22,31,15,21,23,15,2,10,4,3,0
천안아산,63,42,45,28,44,71,34,26,28,36,22,32,6
천안,65,42,59,37,123,94,72,50,38,75,29,32,5
철암,8,5,30,13,13,6,14,6,4,15,7,4,1
청도,3,9,5,22,3,15,6,6,2,13,4,7,0
청량리,61,104,84,91,130,167,66,146,69,193,115,72,35
청리,1,3,4,5,4,5,3,1,2,13,1,1,0
청소,1,1,2,3,5,8,4,2,1,9,2,5,0
청주공항,5,9,8,21,12,24,9,21,4,35,6,9,0
청주,6,17,17,12,13,23,15,10,1,18,5,5,0
청평,23,13,17,10,34,27,17,25,2,7,12,9,2
초성리,10,28,4,18,8,20,13,9,14,7,2,3,7
추암,5,3,1,5,2,2,2,2,1,4,1,6,1
추전,4,5,20,14,11,8,8,3,4,4,3,2,0
추풍령,1,4,5,6,13,7,4,1,0,5,1,1,0
춘양,41,15,39,38,15,4,10,10,0,14,11,2,0
춘천,74,20,24,22,22,35,34,17,9,15,17,19,2
충주,4,4,16,14,19,16,29,9,1,13,33,29,0
탑리,3,2,5,6,4,8,7,7,2,8,3,5,1
태백,2,5,13,13,10,5,5,5,6,18,5,2,0
태화강,16,11,25,15,14,33,24,27,11,14,98,74,15
퇴계원,16,16,15,17,8,19,15,5,5,8,6,11,2
판교,7,7,12,7,11,9,2,2,3,15,2,1,2
평내호평,18,17,21,10,19,25,12,14,2,6,7,19,2
평창,0,0,0,0,0,0,30,36,3,5,4,4,0
평택,13,17,35,51,66,59,59,54,18,53,26,43,4
포항,0,0,0,0,26,27,26,23,9,19,42,18,1
풍기,9,4,15,18,13,8,7,9,0,20,23,32,2
하동,6,5,16,12,3,43,1,3,1,1,6,1,0
하양,6,12,7,12,14,17,8,25,7,12,31,3,1
한림정,13,5,3,7,9,5,7,5,0,1,0,5,0
한탄강,5,18,6,31,9,18,16,9,10,16,4,7,1
함안,10,22,20,21,13,16,14,8,3,2,4,1,0
함열,2,1,3,6,10,6,3,5,0,17,3,3,0
함창,0,3,4,5,2,8,5,3,2,13,1,1,0
함평,15,4,6,11,5,17,6,5,0,9,0,4,1
행신,28,26,39,61,64,64,20,24,23,34,29,35,12
현동,1,3,6,7,2,2,8,1,3,6,5,2,0
호계,11,6,6,11,6,13,2,6,2,7,29,1,0
홍성,2,13,15,14,20,12,8,15,3,10,2,4,2
화명,5,3,4,12,23,9,8,2,1,1,3,1,0
화본,4,3,4,7,3,8,13,8,3,8,8,6,8
화순,8,3,4,6,5,4,5,3,2,2,5,1,0
황간,6,3,5,9,16,6,7,2,0,5,1,3,1
횡성,0,0,0,0,0,0,34,31,2,8,4,5,0
횡천,5,3,6,8,7,28,0,3,1,2,3,1,0
효자,3,6,4,5,11,11,2,6,0,3,6,1,0
효천,7,9,9,8,2,3,5,4,1,3,8,1,0
희방사,5,4,5,5,5,3,4,6,0,14,6,1,0
